ID,Home_income,Home_car,Home_drive,Age,Gender,Home_type,P_Trip_purpose,P_Trip_seq
256550_2,1,0,1,"[80,85)",0,1,4,2
29520_1,4,1,1,"[30,35)",1,4,4,2
256280_1,3,1,0,"[75,80)",0,1,4,2
27623_1,4,0,0,"[40,45)",0,4,4,2
256393_2,4,0,1,"[65,70)",0,1,0,1
256387_3,4,1,1,"[40,45)",0,1,4,2
255139_1,5,0,0,"[65,70)",0,1,4,2
256478_3,4,1,1,"[45,50)",1,1,4,2
256029_1,4,0,1,"[60,65)",1,1,4,2
13792_1,2,0,0,"[55,60)",1,1,0,1
255175_4,5,1,1,"[35,40)",1,1,4,2
255219_1,4,0,1,"[40,45)",1,1,4,2
255113_2,3,1,1,"[60,65)",0,1,0,1
256550_2,1,0,1,"[80,85)",0,1,2,1
256333_2,1,0,0,"[80,85)",0,1,4,2
256424_1,1,0,0,"[70,75)",0,1,4,2
254983_1,1,0,0,"[85,90]",0,1,2,1
256348_3,3,0,1,"[50,55)",1,1,0,1
255942_2,4,0,0,"[40,45)",0,1,0,1
110672_3,5,1,0,"[25,30)",1,1,0,1
256393_2,4,0,1,"[65,70)",0,1,4,2
256333_2,1,0,0,"[80,85)",0,1,2,1
256390_4,3,0,0,"[20,25)",1,1,0,1
254826_3,3,0,1,"[30,35)",1,1,0,1
255139_3,5,0,1,"[35,40)",1,1,4,2
110672_2,5,1,0,"[25,30)",0,1,0,1
12076_2,4,1,1,"[40,45)",0,1,0,1
255175_3,5,1,0,"[50,55)",1,1,4,2
255195_2,4,1,0,"[45,50)",0,1,4,2
256253_1,3,0,1,"[50,55)",1,1,0,1
117559_3,4,1,1,"[25,30)",1,1,0,1
256401_2,3,0,1,"[50,55)",0,1,4,2
194445_1,4,1,1,"[55,60)",1,1,0,1
12076_2,4,1,1,"[40,45)",0,1,4,2
256478_2,4,1,1,"[50,55)",1,1,0,1
252393_1,5,1,1,"[40,45)",0,1,0,1
255939_3,4,1,1,"[25,30)",1,1,0,1
117559_1,4,1,1,"[55,60)",1,1,4,2
255939_1,4,1,1,"[55,60)",1,1,0,1
27380_1,3,0,1,"[40,45)",1,4,0,1
27623_1,4,0,0,"[40,45)",0,4,0,1
255961_2,3,0,1,"[40,45)",0,1,4,2
256559_1,2,0,1,"[55,60)",1,1,0,1
12076_3,4,1,0,"[15,20)",1,1,1,2
12076_1,4,1,1,"[45,50)",1,1,0,1
256536_1,3,0,1,"[40,45)",1,1,4,2
13729_1,2,0,0,"[60,65)",1,1,0,1
117559_1,4,1,1,"[55,60)",1,1,0,1
255942_2,4,0,0,"[40,45)",0,1,4,2
255961_2,3,0,1,"[40,45)",0,1,0,1
12076_3,4,1,0,"[15,20)",1,1,4,3
255175_4,5,1,1,"[35,40)",1,1,0,1
117559_3,4,1,1,"[25,30)",1,1,4,2
256454_2,2,0,1,"[25,30)",1,1,2,1
255998_2,3,0,1,"[45,50)",1,1,0,1
13729_1,2,0,0,"[60,65)",1,1,4,2
255195_1,4,1,1,"[45,50)",1,1,4,2
117559_4,4,1,0,"[25,30)",0,1,0,1
254983_1,1,0,0,"[85,90]",0,1,4,2
256253_2,3,0,0,"[10,15)",1,1,0,1
12076_1,4,1,1,"[45,50)",1,1,4,2
255195_1,4,1,1,"[45,50)",1,1,0,1
117559_4,4,1,0,"[25,30)",0,1,4,2
256253_2,3,0,0,"[10,15)",1,1,4,2
255175_3,5,1,0,"[50,55)",1,1,0,1
256454_2,2,0,1,"[25,30)",1,1,4,2
256253_1,3,0,1,"[50,55)",1,1,4,2
255195_2,4,1,0,"[45,50)",0,1,0,1
256559_1,2,0,1,"[55,60)",1,1,4,2
193298_3,4,1,0,"[30,35)",0,1,4,2
193298_2,4,1,0,"[55,60)",0,1,4,2
196322_3,4,1,1,"[35,40)",0,1,0,1
33364_3,4,1,0,"[20,25)",1,4,4,2
33487_3,5,1,0,"[25,30)",0,4,0,1
196322_3,4,1,1,"[35,40)",0,1,4,2
33364_3,4,1,0,"[20,25)",1,4,0,1
196322_4,4,1,0,"[35,40)",0,1,0,1
193298_2,4,1,0,"[55,60)",0,1,2,1
33364_2,4,1,0,"[50,55)",0,4,4,2
196322_4,4,1,0,"[35,40)",0,1,4,2
33364_2,4,1,0,"[50,55)",0,4,0,1
32219_1,4,1,1,"[30,35)",1,3,0,1
193394_2,4,0,0,"[70,75)",0,1,4,2
32219_1,4,1,1,"[30,35)",1,3,4,2
33487_3,5,1,0,"[25,30)",0,4,4,2
193298_3,4,1,0,"[30,35)",0,1,0,1
193394_2,4,0,0,"[70,75)",0,1,2,1
194086_1,4,1,1,"[45,50)",0,3,0,1
237634_1,5,1,1,"[60,65)",1,2,4,2
194222_3,3,0,1,"[40,45)",1,3,0,1
20222_2,1,0,0,"[50,55)",1,3,4,2
237634_1,5,1,1,"[60,65)",1,2,0,1
20222_2,1,0,0,"[50,55)",1,3,0,1
194222_1,3,0,1,"[65,70)",1,3,4,2
237826_1,4,0,1,"[35,40)",1,3,0,1
237826_2,4,0,1,"[35,40)",0,3,0,1
118374_3,2,1,1,"[20,25)",0,2,4,2
19828_3,5,1,0,"[15,20)",0,2,4,4
237634_3,5,1,1,"[30,35)",0,2,4,2
237826_1,4,0,1,"[35,40)",1,3,4,2
19435_1,1,0,0,"[75,80)",0,3,4,2
237634_4,5,1,1,"[25,30)",1,2,0,1
118374_3,2,1,1,"[20,25)",0,2,0,1
238033_1,5,1,0,"[75,80)",1,4,2,1
237692_3,4,0,0,"[40,45)",1,4,0,1
237634_3,5,1,1,"[30,35)",0,2,0,1
194086_2,4,1,1,"[50,55)",1,3,0,1
194086_2,4,1,1,"[50,55)",1,3,4,2
237692_3,4,0,0,"[40,45)",1,4,4,2
194086_1,4,1,1,"[45,50)",0,3,4,2
193961_1,5,1,0,"[65,70)",0,3,4,2
237978_2,5,1,0,"[70,75)",0,4,4,4
237978_2,5,1,0,"[70,75)",0,4,2,3
237826_2,4,0,1,"[35,40)",0,3,4,2
193986_1,2,1,1,"[70,75)",1,3,3,3
193986_2,2,1,0,"[70,75)",0,3,2,1
194222_3,3,0,1,"[40,45)",1,3,4,2
19435_1,1,0,0,"[75,80)",0,3,2,1
19580_1,1,0,0,"[55,60)",0,3,4,2
193961_1,5,1,0,"[65,70)",0,3,3,1
237671_3,4,0,1,"[45,50)",1,4,0,1
194222_1,3,0,1,"[65,70)",1,3,0,1
237634_4,5,1,1,"[25,30)",1,2,4,2
19580_1,1,0,0,"[55,60)",0,3,2,1
16438_2,5,1,0,"[45,50)",0,4,4,2
238033_1,5,1,0,"[75,80)",1,4,4,2
194131_2,5,1,0,"[35,40)",0,5,0,1
193986_1,2,1,1,"[70,75)",1,3,4,4
19828_3,5,1,0,"[15,20)",0,2,1,3
194131_2,5,1,0,"[35,40)",0,5,4,2
237671_3,4,0,1,"[45,50)",1,4,4,2
16438_2,5,1,0,"[45,50)",0,4,0,1
84197_1,4,1,1,"[40,45)",1,1,0,1
99623_1,3,0,0,"[35,40)",0,4,4,2
96377_1,4,1,1,"[30,35)",1,5,2,2
84197_1,4,1,1,"[40,45)",1,1,2,4
90065_1,3,0,1,"[30,35)",0,1,0,1
99623_1,3,0,0,"[35,40)",0,4,0,1
84068_1,4,1,1,"[40,45)",1,1,2,3
96001_1,3,0,1,"[25,30)",0,5,0,1
75938_1,3,1,0,"[35,40)",0,1,0,1
96858_1,4,1,1,"[35,40)",1,5,2,2
96377_1,4,1,1,"[30,35)",1,5,4,4
106968_1,4,1,1,"[50,55)",0,4,0,1
90788_2,5,1,1,"[35,40)",0,5,4,2
84068_1,4,1,1,"[40,45)",1,1,0,1
106968_1,4,1,1,"[50,55)",0,4,4,2
90065_1,3,0,1,"[30,35)",0,1,4,2
96625_1,3,0,1,"[30,35)",1,5,4,4
90788_1,5,1,1,"[35,40)",1,5,4,2
90788_1,5,1,1,"[35,40)",1,5,0,1
96625_1,3,0,1,"[30,35)",1,5,2,3
90788_2,5,1,1,"[35,40)",0,5,0,1
189968_2,2,1,0,"[65,70)",0,4,4,2
36278_3,3,0,1,"[35,40)",0,3,0,1
190013_3,4,0,1,"[25,30)",0,4,4,2
190013_3,4,0,1,"[25,30)",0,4,2,1
213982_1,4,0,0,"[75,80)",0,4,4,2
189968_4,2,1,1,"[35,40)",0,4,0,1
120066_2,1,0,0,"[60,65)",0,4,4,2
204841_3,4,0,1,"[40,45)",1,4,0,1
36243_2,4,1,1,"[70,75)",1,4,4,2
36243_2,4,1,1,"[70,75)",1,4,2,1
189968_4,2,1,1,"[35,40)",0,4,4,2
204841_3,4,0,1,"[40,45)",1,4,4,2
16129_1,2,0,0,"[60,65)",1,4,4,2
190138_4,2,0,0,"[35,40)",0,4,4,2
120066_2,1,0,0,"[60,65)",0,4,0,1
36278_3,3,0,1,"[35,40)",0,3,4,2
189968_2,2,1,0,"[65,70)",0,4,2,1
190138_4,2,0,0,"[35,40)",0,4,0,1
54858_1,2,0,0,"[35,40)",0,3,4,2
197706_3,5,1,1,"[25,30)",1,4,4,2
197721_1,5,1,1,"[50,55)",1,4,0,1
43348_2,3,0,0,"[20,25)",0,4,4,2
43460_1,2,0,0,"[35,40)",0,2,4,2
54738_1,3,0,1,"[35,40)",1,3,4,4
197706_4,5,1,1,"[25,30)",1,4,4,2
43348_1,3,0,1,"[30,35)",0,4,0,1
43348_1,3,0,1,"[30,35)",0,4,4,4
251467_1,4,0,1,"[55,60)",0,2,0,1
43348_2,3,0,0,"[20,25)",0,4,0,1
197721_3,5,1,1,"[25,30)",1,4,0,1
197706_3,5,1,1,"[25,30)",1,4,0,1
43460_1,2,0,0,"[35,40)",0,2,0,1
197721_1,5,1,1,"[50,55)",1,4,4,2
43436_1,4,1,1,"[35,40)",1,2,4,4
54738_1,3,0,1,"[35,40)",1,3,0,1
43583_1,4,1,1,"[40,45)",1,4,0,1
251467_1,4,0,1,"[55,60)",0,2,4,2
197706_4,5,1,1,"[25,30)",1,4,0,1
197721_3,5,1,1,"[25,30)",1,4,4,2
197721_4,5,1,1,"[20,25)",0,4,0,1
197721_4,5,1,1,"[20,25)",0,4,4,2
54858_1,2,0,0,"[35,40)",0,3,0,1
43436_1,4,1,1,"[35,40)",1,2,0,1
43583_3,4,1,0,"[15,20)",1,4,0,1
43583_3,4,1,0,"[15,20)",1,4,4,2
43583_1,4,1,1,"[40,45)",1,4,4,4
256510_1,1,0,0,"[35,40)",0,1,4,2
256470_2,5,1,1,"[55,60)",1,1,4,2
195637_1,2,0,0,"[20,25)",0,3,4,3
256164_1,4,1,1,"[70,75)",0,1,2,1
256111_3,4,1,1,"[25,30)",0,1,4,2
195616_1,2,0,1,"[35,40)",1,3,0,1
256035_4,5,1,0,"[10,15)",0,1,4,2
245429_1,1,0,1,"[25,30)",1,5,4,3
256185_1,2,1,1,"[65,70)",1,1,3,1
244686_1,2,0,0,"[55,60)",0,4,4,2
256111_2,4,1,1,"[55,60)",0,1,2,1
256156_4,5,1,0,"[15,20)",0,1,0,1
256154_1,4,1,1,"[40,45)",1,1,4,2
256111_2,4,1,1,"[55,60)",0,1,4,2
191798_1,2,0,0,"[40,45)",1,3,0,1
256470_3,5,1,0,"[15,20)",0,1,4,2
256509_1,5,1,1,"[35,40)",1,1,0,1
191798_1,2,0,0,"[40,45)",1,3,4,2
244686_1,2,0,0,"[55,60)",0,4,0,1
256164_1,4,1,1,"[70,75)",0,1,4,2
256509_1,5,1,1,"[35,40)",1,1,4,2
256023_3,5,1,1,"[30,35)",1,1,0,1
256412_3,5,1,0,"[25,30)",1,1,4,2
256035_4,5,1,0,"[10,15)",0,1,0,1
256035_1,5,1,1,"[45,50)",1,1,4,2
256035_1,5,1,1,"[45,50)",1,1,0,1
256510_1,1,0,0,"[35,40)",0,1,2,1
195906_1,3,1,0,"[35,40)",1,3,0,1
196598_2,2,1,0,"[35,40)",0,3,4,2
251256_1,2,0,0,"[30,35)",0,2,2,1
